==============================================================================
GHRN | elliptic | unified | TR40 | seed 42
==============================================================================
Run ID: ghrn_elliptic_unified_tr40_seed42_a6000_20260913T194138Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.03 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded elliptic: 203,769 nodes, 166 features, 1 relation(s)
Split: train 18,626 | valid 9,313 | test 18,625
Graph: 203,769 nodes, 672,479 stored directed edges (backend: dgl)
Training fraud/normal: 1,669/16,957 | fraud weight 10.1600
Parameters: 27,330 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage2_refined] epoch 100/100 | loss 0.006013 | train 0.026s | val AUPRC 0.717160 | val AUROC 0.855282 | thr 0.97 | best epoch 100
/workspace/COMP8851-fraud-dataset-analysis-main/models/ghrn/scripts/run_one.py:445: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(selected["checkpoint"], map_location=device))
------------------------------------------------------------------------------
test auroc: 0.890422
test auprc: 0.500640
test macro_f1: 0.741463
test fraud_f1: 0.536674
test fraud_precision: 0.423218
test fraud_recall: 0.733239
test gmean: 0.820307
test accuracy: 0.903678
threshold: 0.97 (chosen on validation Macro-F1)
selected stage: stage2_refined, best epoch 100
------------------------------------------------------------------------------
